exchange,id,data_start
BINANCE,BINANCE_SPOT_TOMO_BTC,2019-08-24
BINANCE,BINANCE_SPOT_TNB_ETH,2017-12-15
BINANCE,BINANCE_SPOT_NANO_BNB,2018-02-02
BINANCE,BINANCE_SPOT_PERL_BTC,2019-08-26
BINANCE,BINANCE_SPOT_PERL_BNB,2019-08-26
BINANCE,BINANCE_SPOT_PERL_USDT,2019-08-26
BINANCE,BINANCE_SPOT_WAN_USDT,2019-08-27
BINANCE,BINANCE_SPOT_DOCK_USDT,2019-08-27
BINANCE,BINANCE_SPOT_DENT_USDT,2019-08-27
BINANCE,BINANCE_SPOT_CVC_USDT,2019-08-27
BINANCE,BINANCE_SPOT_KEY_USDT,2019-08-27
BINANCE,BINANCE_SPOT_MFT_USDT,2019-08-27
BINANCE,BINANCE_SPOT_FUN_USDT,2019-08-27
BINANCE,BINANCE_SPOT_BTG_ETH,2017-10-24
BINANCE,BINANCE_SPOT_BTT_TRX,2019-09-04
BINANCE,BINANCE_SPOT_WIN_TRX,2019-09-04
BINANCE,BINANCE_SPOT_CHZ_BNB,2019-09-06
BINANCE,BINANCE_SPOT_CHZ_USDT,2019-09-06
BINANCE,BINANCE_SPOT_CHZ_BTC,2019-09-06
BINANCE,BINANCE_SPOT_YOYOW_ETH,2017-11-02
BINANCE,BINANCE_SPOT_YOYOW_BNB,2017-11-06
BINANCE,BINANCE_SPOT_PIVX_BNB,2018-01-23
BINANCE,BINANCE_SPOT_CND_ETH,2017-12-11
